MOVIE,CERTIFICATE,RATING,THEATRE,DATE,MONTH,DAY,YEAR
TOTAL DHAMAAL,U,2,COSMOPLEX-BLUE,4,March,MONDAY,2019
LUKA CHUPPI,U/A,3.5,INOX,6,March,WEDNESDAY,2019
BADLA,U/A,4,INOX,9,March,SATURDAY,2019
AVENGERS END GAME,U/A,4,PVR,29,April,MONDAY,2019
DE DE PYAAR DE,U/A,3,PVR,31,May,FRIDAY,2019
BHAARAT,U/A,3,GRAN VIA 2,11,June,TUESDAY,2019
KABIR SINGH,A,2,COSMOPLEX-BLUE,23,June,SUNDAY,2019
ARTICLE 15,U/A,3,COSMOPLEX-RED,17,June,MONDAY,2019
HOBBS AND SHAW,A,2,BIG CINEMAS,11,August,SATURDAY,2019
BATLA HOUSE,U/A,4,COSMOPLEX-RED,15,August,THURSDAY,2019
MISSION MANGAL,U,3.5,BIG CINEMAS,16,August,FRIDAY,2019
CHHICHHORE,U/A,4,PVR,8,September,SUNDAY,2019
DREAM GIRL,U/A,2.5,BIG CINEMAS,26,September,THURSDAY,2019
WAR,U/A,4,INOX,4,October,FRIDAY,2019
HOUSEFULL-4,U/A,3,COSMOPLEX-BLUE,26,October,SATURDAY,2019
Pati Patni aur wow,U/A,3,COSMOPLEX-RED,12,December,THURSDAY,2019
